Dấu thời gian,doi_tuong,dia_diem,mon_gioi,mon_yeu,diem_gan_nhat,to_hop_du_dinh,to_hop_clean,diem_du_doan,muc_dich,target_list,khao_khat_clean
2026/04/02 12:13:15 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Lý', 'Anh', 'Tin']","['Văn', 'Công nghệ công nghiệp', 'GDKT&PL (Hoặc GDCD)', 'Công nghệ nông nghiệp']",[9.0 - 10.0],"A00, A01","['A00', 'A01']",[24 - 27),Đủ điều kiện xét học bạ / ĐGNL,"['Vị thế tương đối', 'Xác suất ""an toàn""', 'Thứ hạng ước tính', 'Phân tích phổ điểm']",
2026/04/02 12:18:44 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Văn', 'Tin']","['Toán', 'Anh']",[8.0 - 9.0),D01,['D01'],[21 - 24),Lấy điểm để đi du học hoặc xét tuyển riêng.,"['Vị thế tương đối', 'Thứ hạng ước tính', 'Phân tích phổ điểm']",
2026/04/02 12:21:36 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Văn', 'Anh']","['Lý', 'Hóa', 'Sinh']",[9.0 - 10.0],D01,['D01'],[21 - 24),Xét tuyển bằng điểm thi THPTQG,['Thứ hạng ước tính'],
2026/04/02 12:25:32 CH GMT+7,Lớp 10,Miền Nam,['Văn'],['Toán'],[6.0 - 7.0),c00 c01,"['C00', 'C01']",[18 - 21),Đủ điều kiện xét học bạ / ĐGNL,['Phân tích phổ điểm'],
2026/04/02 12:36:02 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Lý', 'Anh']","['Hóa', 'Sinh']",[7.0 - 8.0),A01,['A01'],[21 - 24),Xét tuyển bằng điểm thi THPTQG,['Phân tích phổ điểm'],Đủ điểm đậu trường mình muốn
2026/04/02 12:55:17 CH GMT+7,Lớp 11,Miền Nam,"['Hóa', 'Sinh']",['Toán'],[8.0 - 9.0),Toán Hóa Sinh,['INVALID'],[27 - 30],Lấy điểm để đi du học hoặc xét tuyển riêng.,"['Vị thế tương đối', 'Xác suất ""an toàn""', 'Thứ hạng ước tính', 'Phân tích phổ điểm', 'So sánh tổ hợp']",
2026/04/02 12:55:45 CH GMT+7,Lớp 11,Miền Nam,['Toán'],"['Toán', 'Lý', 'Hóa']",[8.0 - 9.0),"Toán, Lí, Hóa",['INVALID'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Vị thế tương đối', 'Xác suất ""an toàn""', 'Thứ hạng ước tính', 'Phân tích phổ điểm', 'So sánh tổ hợp']",Thứ hạng so với những người thi cùng ngành
2026/04/02 12:57:08 CH GMT+7,Lớp 11,Miền Nam,"['Toán', 'Anh']","['Lý', 'Hóa']",[7.0 - 8.0),A00,['A00'],[27 - 30],Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""', 'Phân tích phổ điểm']",Đậu đại học
2026/04/02 12:58:17 CH GMT+7,Lớp 11,Miền Nam,"['Văn', 'Sinh']","['Toán', 'Hóa']",[8.0 - 9.0),Toán Văn Hóa Sinh,['INVALID'],[27 - 30],Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",Muốn biết đậu hay không
2026/04/02 12:59:18 CH GMT+7,Lớp 10,Miền Nam,"['Anh', 'Sinh']",['Toán'],[9.0 - 10.0],Toán - Sinh - Anh,['INVALID'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Vị thế tương đối', 'Xác suất ""an toàn""', 'Thứ hạng ước tính', 'Phân tích phổ điểm']","Muốn biết mình thuộc top mấy, so sánh điểm với các bạn ẩn danh"
2026/04/02 1:00:17 CH GMT+7,Lớp 10,Miền Nam,"['Sinh', 'Lý', 'Anh', 'Hóa', 'Toán']","['Sử', 'GDKT&PL (Hoặc GDCD)', 'Công nghệ công nghiệp', 'Công nghệ nông nghiệp', 'Tin', 'Địa']",[9.0 - 10.0],A,['INVALID'],[24 - 27),Lấy điểm để đi du học hoặc xét tuyển riêng.,"['Vị thế tương đối', 'Xác suất ""an toàn""']",
2026/04/02 1:04:28 CH GMT+7,Lớp 10,Miền Nam,['GDKT&PL (Hoặc GDCD)'],['Anh'],[5.0 - 6.0),tổ hợp D,['INVALID'],[15 - 18),Đủ điều kiện xét học bạ / ĐGNL,['Phân tích phổ điểm'],
2026/04/02 1:10:03 CH GMT+7,Lớp 12,Miền Nam,"['Địa', 'Sử']","['Toán', 'Văn']",[7.0 - 8.0),C00,['C00'],[21 - 24),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""']",
2026/04/02 1:18:36 CH GMT+7,Lớp 10,Miền Nam,['Anh'],['Lý'],[7.0 - 8.0),toán lý anh,['INVALID'],Khác,Lấy điểm để đi du học hoặc xét tuyển riêng.,['So sánh tổ hợp'],
2026/04/02 3:26:25 CH GMT+7,Đã tốt nghiệp THPT,Miền Nam,"['Toán', 'Hóa', 'Sinh']","['Sử', 'Văn', 'GDKT&PL (Hoặc GDCD)', 'Công nghệ công nghiệp', 'Công nghệ nông nghiệp', 'Lý', 'Địa']",[8.0 - 9.0),B00,['B00'],[27 - 30],Xét tuyển bằng điểm thi THPTQG,['Vị thế tương đối'],
2026/04/02 4:14:30 CH GMT+7,Lớp 11,Miền Nam,"['Địa', 'GDKT&PL (Hoặc GDCD)', 'Anh']","['Toán', 'Văn']",[9.0 - 10.0],D01,['D01'],[24 - 27),Đủ điều kiện xét học bạ / ĐGNL,"['Xác suất ""an toàn""', 'Thứ hạng ước tính', 'Phân tích phổ điểm']",
2026/04/02 4:44:10 CH GMT+7,Lớp 11,Miền Nam,"['Lý', 'Hóa']",['Toán'],[8.0 - 9.0),A00 - Toán Lý Hóa,['A00'],[24 - 27),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""', 'Thứ hạng ước tính', 'Phân tích phổ điểm', 'So sánh tổ hợp']","Muốn biết mình có thuộc Top 100 của thành phố không, muốn so sánh điểm với bạn bè một cách ẩn danh"
2026/04/02 4:48:26 CH GMT+7,Lớp 10,Miền Nam,['Văn'],"['Toán', 'Lý', 'Anh', 'Tin']",Mình đang là học sinh lớp 10 nên chưa biết,toán lí anh,['INVALID'],[24 - 27),Đủ điều kiện xét học bạ / ĐGNL,"['Xác suất ""an toàn""']",
2026/04/02 4:50:35 CH GMT+7,Lớp 10,Miền Nam,"['Toán', 'Văn', 'Lý', 'Hóa']","['Anh', 'Tin']",[7.0 - 8.0),A00,['A00'],[21 - 24),Xét tuyển bằng điểm thi THPTQG,"['Xác suất ""an toàn""', 'So sánh tổ hợp']",
2026/04/02 4:58:50 CH GMT+7,Lớp 10,Miền Nam,"['Địa', 'Văn']",['Toán'],Mình đang là học sinh lớp 10 nên chưa biết,Địa - sử,['INVALID'],Khác,Xét tuyển bằng điểm thi THPTQG,"['Vị thế tương đối', 'Xác suất ""an toàn""']",
